N,P,Avg_Return,X_1_1,Y_1_1,X_1_2,Y_1_2,X_1_3,Y_1_3,X_1_4,Y_1_4,X_1_5,Y_1_5,X_1_6,Y_1_6,X_1_7,Y_1_7,X_1_8,Y_1_8,X_1_9,Y_1_9,X_1_10,Y_1_10,X_1_11,Y_1_11,X_1_12,Y_1_12,X_1_13,Y_1_13,X_1_14,Y_1_14,X_1_15,Y_1_15,X_1_16,Y_1_16,X_1_17,Y_1_17,X_1_18,Y_1_18,X_1_19,Y_1_19,X_1_20,Y_1_20,X_1_21,Y_1_21,X_1_22,Y_1_22,X_1_23,Y_1_23,X_1_24,Y_1_24,X_1_25,Y_1_25,X_1_26,Y_1_26,X_1_27,Y_1_27,X_1_28,Y_1_28,X_1_29,Y_1_29,X_1_30,Y_1_30,X_1_31,Y_1_31,X_1_32,Y_1_32,X_1_33,Y_1_33,X_1_34,Y_1_34,X_1_35,Y_1_35,X_1_36,Y_1_36,X_1_37,Y_1_37,X_1_38,Y_1_38,X_1_39,Y_1_39,X_1_40,Y_1_40,X_1_41,Y_1_41,X_1_42,Y_1_42,X_1_43,Y_1_43,X_1_44,Y_1_44,X_1_45,Y_1_45,X_1_46,Y_1_46,X_1_47,Y_1_47,X_1_48,Y_1_48,X_1_49,Y_1_49,X_1_50,Y_1_50,X_1_51,Y_1_51,X_1_52,Y_1_52,X_1_53,Y_1_53,X_1_54,Y_1_54,X_1_24,Y_1_24,X_1_39,Y_1_39,X_1_6,Y_1_6,X_1_20,Y_1_20,X_1_17,Y_1_17,X_1_48,Y_1_48,X_1_32,Y_1_32,X_1_37,Y_1_37,X_1_29,Y_1_29,X_1_28,Y_1_28,X_1_25,Y_1_25,X_1_34,Y_1_34,X_1_6,Y_1_6,X_1_19,Y_1_19,X_1_38,Y_1_38,X_1_19,Y_1_19,X_1_40,Y_1_40,X_1_6,Y_1_6,X_1_36,Y_1_36,X_1_46,Y_1_46,X_1_8,Y_1_8,X_1_11,Y_1_11,X_1_57,Y_1_57,X_1_19,Y_1_19,X_1_42,Y_1_42,X_1_15,Y_1_15,X_1_41,Y_1_41,X_1_8,Y_1_8,X_1_60,Y_1_60,X_1_23,Y_1_23,X_1_6,Y_1_6,X_1_44,Y_1_44,X_1_36,Y_1_36,X_1_33,Y_1_33,X_1_3,Y_1_3,X_1_19,Y_1_19,X_1_51,Y_1_51,X_1_56,Y_1_56,X_1_31,Y_1_31,X_1_34,Y_1_34,X_1_50,Y_1_50,X_1_32,Y_1_32,X_1_56,Y_1_56,X_1_48,Y_1_48,X_1_31,Y_1_31,X_1_53,Y_1_53,X_1_38,Y_1_38,X_1_24,Y_1_24,X_1_47,Y_1_47,X_1_51,Y_1_51,X_1_41,Y_1_41,X_1_52,Y_1_52,X_1_17,Y_1_17,X_1_39,Y_1_39
50,101.9010246,0.0002656850447,0,0,1,0,3,0,4,0,1,1,4,1,5,1,7,1,0,2,2,2,3,2,1,3,2,3,3,3,6,3,1,4,4,4,6,4,1,5,4,5,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,7,4,5,0,4,2,1,2,NA,NA,3,4,2,5,0,4,7,3,4,3,3,5,6,0,6,2,NA,NA,0,3,NA,NA,7,0,NA,NA,NA,NA,2,1,6,1,NA,NA,5,3,NA,NA,5,2,NA,NA,3,1,NA,NA,0,5,0,1,NA,NA,NA,NA,NA,NA,2,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
50,102.5418099,0.006288311514,0,0,1,0,3,0,4,0,1,1,4,1,5,1,7,1,0,2,2,2,3,2,1,3,2,3,3,3,6,3,1,4,4,4,6,4,1,5,4,5,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,7,4,5,0,4,2,1,2,NA,NA,3,4,2,5,0,4,7,3,4,3,3,5,6,0,6,2,NA,NA,0,3,NA,NA,7,0,NA,NA,NA,NA,2,1,6,1,NA,NA,5,3,NA,NA,5,2,NA,NA,3,1,NA,NA,0,5,0,1,NA,NA,NA,NA,NA,NA,2,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
50,103.346322,0.007845697742,0,0,1,0,3,0,4,0,1,1,4,1,5,1,7,1,0,2,2,2,3,2,1,3,2,3,3,3,6,3,1,4,4,4,6,4,1,5,4,5,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,7,4,5,0,4,2,1,2,NA,NA,3,4,2,5,0,4,7,3,4,3,3,5,6,0,6,2,NA,NA,0,3,NA,NA,7,0,NA,NA,NA,NA,2,1,6,1,NA,NA,5,3,NA,NA,5,2,NA,NA,3,1,NA,NA,0,5,0,1,NA,NA,NA,NA,NA,NA,2,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
50,103.823272,0.004615064833,0,0,1,0,3,0,4,0,1,1,4,1,5,1,7,1,0,2,2,2,3,2,1,3,2,3,3,3,6,3,1,4,4,4,6,4,1,5,4,5,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,7,4,5,0,4,2,1,2,NA,NA,3,4,2,5,0,4,7,3,4,3,3,5,6,0,6,2,NA,NA,0,3,NA,NA,7,0,NA,NA,NA,NA,2,1,6,1,NA,NA,5,3,NA,NA,5,2,NA,NA,3,1,NA,NA,0,5,0,1,NA,NA,NA,NA,NA,NA,2,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
49,104.9324599,0.01068342291,0,0,1,0,3,0,4,0,1,1,4,1,5,1,7,1,0,2,2,2,3,2,1,3,2,3,3,3,6,3,1,4,4,4,6,4,1,5,4,5,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,7,4,5,0,4,2,1,2,NA,NA,3,4,2,5,0,4,7,3,4,3,3,5,6,0,6,2,NA,NA,0,3,NA,NA,7,0,NA,NA,NA,NA,2,1,6,1,NA,NA,5,3,NA,NA,5,2,NA,NA,3,1,NA,NA,0,5,0,1,NA,NA,NA,NA,NA,NA,2,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
49,105.1756523,0.002317609226,0,0,1,0,3,0,4,0,1,1,4,1,5,1,7,1,0,2,2,2,3,2,1,3,2,3,3,3,6,3,1,4,4,4,6,4,1,5,4,5,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,5,0,4,2,1,2,NA,NA,3,4,2,5,0,4,7,3,4,3,3,5,6,0,6,2,NA,NA,0,3,NA,NA,7,0,NA,NA,NA,NA,2,1,6,1,NA,NA,5,3,NA,NA,5,2,NA,NA,3,1,NA,NA,0,5,0,1,NA,NA,NA,NA,NA,NA,2,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
49,106.3202296,0.01088253079,0,0,1,0,3,0,4,0,1,1,4,1,5,1,7,1,0,2,2,2,3,2,1,3,2,3,3,3,6,3,1,4,4,4,6,4,1,5,4,5,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,5,0,4,2,1,2,NA,NA,3,4,2,5,0,4,7,3,4,3,3,5,6,0,6,2,NA,NA,0,3,NA,NA,7,0,NA,NA,NA,NA,2,1,6,1,NA,NA,5,3,NA,NA,5,2,NA,NA,3,1,NA,NA,0,5,0,1,NA,NA,NA,NA,NA,NA,2,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
49,105.9108231,-0.003850692438,0,0,1,0,3,0,4,0,1,1,4,1,5,1,7,1,0,2,2,2,3,2,1,3,2,3,3,3,6,3,1,4,4,4,6,4,1,5,4,5,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,5,0,4,2,1,2,NA,NA,3,4,2,5,0,4,7,3,4,3,3,5,6,0,6,2,NA,NA,0,3,NA,NA,7,0,NA,NA,NA,NA,2,1,6,1,NA,NA,5,3,NA,NA,5,2,NA,NA,3,1,NA,NA,0,5,0,1,NA,NA,NA,NA,NA,NA,2,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
49,105.1824402,-0.006877322621,0,0,1,0,3,0,4,0,1,1,4,1,5,1,7,1,0,2,2,2,3,2,1,3,2,3,3,3,6,3,1,4,4,4,6,4,1,5,4,5,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,5,0,4,2,1,2,NA,NA,3,4,2,5,0,4,7,3,4,3,3,5,6,0,6,2,NA,NA,0,3,NA,NA,7,0,NA,NA,NA,NA,2,1,6,1,NA,NA,5,3,NA,NA,5,2,NA,NA,3,1,NA,NA,0,5,0,1,NA,NA,NA,NA,NA,NA,2,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
49,106.9709722,0.0170040929,0,0,1,0,3,0,4,0,1,1,4,1,5,1,7,1,0,2,2,2,3,2,1,3,2,3,3,3,6,3,1,4,4,4,6,4,1,5,4,5,5,5,6,5,0,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,5,0,4,2,1,2,NA,NA,3,4,2,5,0,4,7,3,4,3,3,5,6,0,6,2,NA,NA,0,3,NA,NA,7,0,NA,NA,NA,NA,2,1,6,1,NA,NA,5,3,NA,NA,5,2,NA,NA,3,1,NA,NA,0,5,0,1,NA,NA,NA,NA,NA,NA,2,0,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA
