N,P,Avg_Return
49,102.1514641,0.0055985079
49,102.2908501,0.001364502482
49,102.7075093,0.004073279621
49,103.5952841,0.008643718952
49,103.9476163,0.003401044458
49,104.1207332,0.001665424732
49,106.4037526,0.02192665493
48,107.51308,0.01042564108
48,108.588886,0.01000628025
48,109.2281939,0.005887416213
47,109.7009618,0.004328258364
47,113.77504,0.03713803569
47,117.6801948,0.03432347551
47,119.9401599,0.01920429429
47,118.0490243,-0.01576732642
47,122.1338438,0.03460273832
47,123.6363555,0.01230217398
47,124.6291467,0.008029928694
47,126.1464024,0.01217416448
47,127.0927158,0.007501707289
47,126.1474071,-0.007437945083
47,127.9465737,0.01426241425
47,131.7987245,0.03010749475
47,137.5892432,0.04393455776
47,130.7742628,-0.04953134616
47,132.8811568,0.01611092294
47,135.6488139,0.02082806243
46,134.1123626,-0.01132668411
46,136.3404693,0.01661373073
46,142.1064524,0.04229106082
46,134.5398231,-0.0532462045
46,134.3389011,-0.001493402222
46,134.1389041,-0.00148874923
46,129.4680633,-0.03482092553
46,129.7473934,0.002157520796
46,129.5345862,-0.001640164902
46,128.0549483,-0.01142272503
46,124.761896,-0.02571593147
45,125.6708281,0.007285334132
45,124.8398469,-0.006612363287
45,124.0591272,-0.006253770548
45,124.2561868,0.001588432674
45,121.7082437,-0.02050556252
45,121.4290703,-0.002293792248
45,123.3842583,0.01610148204
45,119.4159418,-0.03216225924
45,119.9982881,0.004876620637
45,120.9447589,0.007887369401
45,121.4524645,0.004197830636
45,123.6708067,0.01826510642
45,126.8085248,0.02537153399
45,126.5053467,-0.002390833629
45,129.6397293,0.02477668104
45,127.7282626,-0.01474445129
45,127.4127835,-0.00246992389
45,127.207468,-0.001611420443
45,127.8413509,0.004983063411
45,126.8485694,-0.007765730734
45,127.2789508,0.003392875838
45,125.2214104,-0.01616559874
45,125.1165598,-0.0008373209269
45,123.9996476,-0.008926973694
45,124.7126413,0.005749965643
45,123.9110709,-0.006427339066
44,119.0971091,-0.03885013489
44,123.5292024,0.03721411372
44,123.5263733,-2.290292141E-05
44,123.0149678,-0.004140050473
44,122.3301767,-0.005566730038
44,120.1289637,-0.01799403077
44,121.3640237,0.01028111706
44,121.0773154,-0.002362383012
44,118.8394507,-0.01848293948
44,119.867976,0.008654746071
44,118.2265571,-0.01369355618
44,118.0343844,-0.001625460923
44,116.7160914,-0.01116872043
44,117.648435,0.007988132829
44,119.0998353,0.01233675812
44,119.139605,0.000333918964
44,118.7857748,-0.002969879418
44,119.1854563,0.003364725753
44,119.5810327,0.003318998385
44,118.0230333,-0.01302881707
44,119.4361581,0.0119732967
44,119.1809994,-0.002136360406
44,119.4732554,0.002452202944
44,118.3157574,-0.00968834392
44,117.7761427,-0.004560801456
44,117.988608,0.001803975426
44,118.9117401,0.007823909323
44,119.5389501,0.005274584127
44,116.8394777,-0.02258236645
44,116.8698841,0.000260240686
44,116.2842036,-0.005011389607
45,116.7626699,0.004114628733
45,117.4383727,0.005786976399
45,118.2130699,0.006596627141
45,118.332438,0.00100977108
45,117.8484136,-0.004090378259
45,120.5624057,0.02302951756
45,121.136705,0.00476350183
45,119.7919579,-0.01110106991
45,119.748172,-0.0003655163249
45,121.1205064,0.01146016986
45,123.3255382,0.01820527216
45,122.9339507,-0.003175234363
45,122.7090736,-0.00182925167
45,122.5528014,-0.001273517461
45,121.5684137,-0.008032355928
45,121.7629629,0.001600326657
45,122.9058619,0.009386261288
45,123.8423562,0.007619607017
45,123.3926512,-0.003631269602
45,126.6425045,0.026337494
45,127.3476439,0.005567952777
45,126.5038161,-0.006626175628
45,125.8175183,-0.005425115394
45,127.0800407,0.01003455199
45,123.9269321,-0.02481198905
45,123.4516851,-0.003834897367
45,124.2995363,0.006867879074
45,124.1625938,-0.00110171365
45,122.7142436,-0.01166494828
45,122.4371443,-0.002258085796
45,122.2626281,-0.001425353352
45,122.1048757,-0.0012902745
45,122.8518302,0.006117318838
45,123.6745558,0.006696893661
45,124.5995774,0.007479481449
45,126.1136412,0.01215143617
45,128.3348562,0.01761280521
45,130.6279421,0.01786798957
45,131.6153084,0.007558614998
45,134.0936814,0.01883043107
45,136.3898818,0.01712385241
45,136.6710137,0.00206123726
45,132.9257942,-0.02740317339
45,132.4009244,-0.003948592941
45,133.5940539,0.009011489279
45,130.0029229,-0.02688091957
45,131.8184831,0.013965534
45,129.8296978,-0.01508730254
45,131.2818097,0.011184744
45,128.5317904,-0.02094745134
45,126.3720484,-0.01680317313
45,128.292813,0.01519928312
45,132.9179314,0.03605126644
45,134.091537,0.008829550943
45,136.1264027,0.01517519861
45,133.4903857,-0.01936447989
45,137.8833596,0.03290854105
45,139.7109887,0.01325489267
45,138.6274373,-0.007755663373
45,140.1599473,0.01105488238
45,140.6114453,0.003221305505
45,148.3194675,0.05481788597
45,143.6538079,-0.0314568258
45,144.1979787,0.003788071086
45,149.0626914,0.0337363447
45,148.1318036,-0.006244941889
45,140.3441934,-0.05257216885
45,129.9854239,-0.07380974729
45,128.5848059,-0.01077519289
45,127.861207,-0.005627405886
